fips,county_name,state_name,net_migration,population_2016,percent_change
037095,Hyde County,North Carolina,149.0,5426.0,2.746
055037,Florence County,Wisconsin,119.0,4338.0,2.743
051820,Waynesboro City,Virginia,591.0,21542.0,2.743
048091,Comal County,Texas,3530.0,128795.0,2.741
037103,Jones County,North Carolina,268.0,9777.0,2.741
040031,Comanche County,Oklahoma,3394.0,124005.0,2.737
047121,Meigs County,Tennessee,323.0,11804.0,2.736
047007,Bledsoe County,Tennessee,398.0,14601.0,2.726
048397,Rockwall County,Texas,2450.0,90170.0,2.717
041039,Lane County,Oregon,9822.0,361946.0,2.714
005083,Logan County,Arkansas,588.0,21729.0,2.706
046129,Walworth County,South Dakota,146.0,5404.0,2.702
021205,Rowan County,Kentucky,665.0,24642.0,2.699
020057,Ford County,Kansas,934.0,34629.0,2.697
028159,Winston County,Mississippi,496.0,18447.0,2.689
018121,Parke County,Indiana,455.0,16970.0,2.681
017037,DeKalb County,Illinois,2786.0,104195.0,2.674
048071,Chambers County,Texas,1042.0,39028.0,2.67
047183,Weakley County,Tennessee,904.0,33872.0,2.669
055127,Walworth County,Wisconsin,2734.0,102475.0,2.668
029107,Lafayette County,Missouri,869.0,32624.0,2.664
019025,Calhoun County,Iowa,261.0,9801.0,2.663
041049,Morrow County,Oregon,296.0,11130.0,2.659
013021,Bibb County,Georgia,4084.0,153945.0,2.653
012127,Volusia County,Florida,13651.0,516730.0,2.642
040153,Woodward County,Oklahoma,570.0,21608.0,2.638
012081,Manatee County,Florida,9552.0,362548.0,2.635
039173,Wood County,Ohio,3405.0,129285.0,2.634
020179,Sheridan County,Kansas,65.0,2475.0,2.626
017053,Ford County,Illinois,353.0,13529.0,2.609
012119,Sumter County,Florida,3048.0,117076.0,2.603
022091,St. Helena Parish,Louisiana,272.0,10457.0,2.601
021217,Taylor County,Kentucky,664.0,25586.0,2.595
030051,Liberty County,Montana,62.0,2391.0,2.593
055129,Washburn County,Wisconsin,402.0,15522.0,2.59
005095,Monroe County,Arkansas,192.0,7452.0,2.576
040027,Cleveland County,Oklahoma,7049.0,273841.0,2.574
048447,Throckmorton County,Texas,40.0,1559.0,2.566
056043,Washakie County,Wyoming,211.0,8278.0,2.549
008007,Archuleta County,Colorado,315.0,12387.0,2.543
008019,Clear Creek County,Colorado,235.0,9244.0,2.542
030063,Missoula County,Montana,2894.0,114122.0,2.536
029199,Scotland County,Missouri,122.0,4821.0,2.531
048285,Lavaca County,Texas,502.0,19919.0,2.52
048097,Cooke County,Texas,987.0,39170.0,2.52
004009,Graham County,Arizona,954.0,37860.0,2.52
055097,Portage County,Wisconsin,1773.0,70520.0,2.514
031109,Lancaster County,Nebraska,7692.0,306096.0,2.513
053047,Okanogan County,Washington,1038.0,41356.0,2.51
045073,Oconee County,South Carolina,1902.0,75863.0,2.507
029053,Cooper County,Missouri,441.0,17614.0,2.504
048243,Jeff Davis County,Texas,55.0,2199.0,2.501
018179,Wells County,Indiana,694.0,27851.0,2.492
013205,Mitchell County,Georgia,557.0,22449.0,2.481
016077,Power County,Idaho,189.0,7687.0,2.459
006079,San Luis Obispo County,California,6888.0,280077.0,2.459
012083,Marion County,Florida,8395.0,342182.0,2.453
048485,Wichita County,Texas,3211.0,130961.0,2.452
004025,Yavapai County,Arizona,5410.0,220805.0,2.45
012105,Polk County,Florida,15881.0,648523.0,2.449
008071,Las Animas County,Colorado,343.0,14043.0,2.442
042053,Forest County,Pennsylvania,180.0,7381.0,2.439
032510,Carson City,Nevada,1318.0,54068.0,2.438
026119,Montmorency County,Michigan,226.0,9287.0,2.434
047187,Williamson County,Tennessee,5149.0,211605.0,2.433
013307,Webster County,Georgia,64.0,2631.0,2.433
048025,Bee County,Texas,791.0,32617.0,2.425
008099,Prowers County,Colorado,289.0,11936.0,2.421
029167,Polk County,Missouri,756.0,31256.0,2.419
029007,Audrain County,Missouri,627.0,25950.0,2.416
048347,Nacogdoches County,Texas,1566.0,65462.0,2.392
012061,Indian River County,Florida,3527.0,147434.0,2.392
042031,Clarion County,Pennsylvania,928.0,38876.0,2.387
047111,Macon County,Tennessee,550.0,23076.0,2.383
012021,Collier County,Florida,8481.0,356041.0,2.382
051640,Galax City,Virginia,162.0,6800.0,2.382
045091,York County,South Carolina,5963.0,250566.0,2.38
050009,Essex County,Vermont,147.0,6193.0,2.374
047005,Benton County,Tennessee,385.0,16220.0,2.374
012023,Columbia County,Florida,1617.0,68222.0,2.37
048181,Grayson County,Texas,2971.0,125628.0,2.365
021221,Trigg County,Kentucky,336.0,14218.0,2.363
046077,Kingsbury County,South Dakota,117.0,4952.0,2.363
048227,Howard County,Texas,875.0,37123.0,2.357
048041,Brazos County,Texas,5096.0,216258.0,2.356
046011,Brookings County,South Dakota,796.0,33800.0,2.355
041041,Lincoln County,Oregon,1106.0,46999.0,2.353
029063,DeKalb County,Missouri,295.0,12540.0,2.352
020135,Ness County,Kansas,71.0,3020.0,2.351
020081,Haskell County,Kansas,96.0,4089.0,2.348
026061,Houghton County,Michigan,850.0,36228.0,2.346
005081,Little River County,Arkansas,291.0,12402.0,2.346
037127,Nash County,North Carolina,2192.0,93786.0,2.337
005039,Dallas County,Arkansas,176.0,7530.0,2.337
012115,Sarasota County,Florida,9414.0,404761.0,2.326
012017,Citrus County,Florida,3260.0,140287.0,2.324
040009,Beckham County,Oklahoma,547.0,23554.0,2.322
013019,Berrien County,Georgia,439.0,18991.0,2.312
020183,Smith County,Kansas,85.0,3689.0,2.304
008013,Boulder County,Colorado,7328.0,318027.0,2.304
055035,Eau Claire County,Wisconsin,2344.0,102080.0,2.296
045005,Allendale County,South Carolina,216.0,9430.0,2.291
038033,Golden Valley County,North Dakota,43.0,1879.0,2.288
029229,Wright County,Missouri,414.0,18146.0,2.281
047189,Wilson County,Tennessee,2926.0,128536.0,2.276
005009,Boone County,Arkansas,844.0,37119.0,2.274
035027,Lincoln County,New Mexico,438.0,19352.0,2.263
012111,St. Lucie County,Florida,6727.0,297282.0,2.263
037133,Onslow County,North Carolina,4370.0,193114.0,2.263
016083,Twin Falls County,Idaho,1859.0,82245.0,2.26
042041,Cumberland County,Pennsylvania,5550.0,245744.0,2.258
001051,Elmore County,Alabama,1823.0,80872.0,2.254
042035,Clinton County,Pennsylvania,886.0,39400.0,2.249
048231,Hunt County,Texas,2017.0,89670.0,2.249
016037,Custer County,Idaho,91.0,4059.0,2.242
047165,Sumner County,Tennessee,3916.0,175326.0,2.234
049041,Sevier County,Utah,465.0,20858.0,2.229
037089,Henderson County,North Carolina,2492.0,111847.0,2.228
013087,Decatur County,Georgia,602.0,27049.0,2.226
033007,Coos County,New Hampshire,717.0,32343.0,2.217
019035,Cherokee County,Iowa,254.0,11483.0,2.212
037093,Hoke County,North Carolina,1166.0,52739.0,2.211
048457,Tyler County,Texas,472.0,21370.0,2.209
049023,Juab County,Utah,233.0,10551.0,2.208
020103,Leavenworth County,Kansas,1746.0,79119.0,2.207
018083,Knox County,Indiana,832.0,37760.0,2.203
054063,Monroe County,West Virginia,299.0,13573.0,2.203
048331,Milam County,Texas,536.0,24362.0,2.2
021119,Knott County,Kentucky,345.0,15680.0,2.2
001081,Lee County,Alabama,3448.0,156954.0,2.197
